country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,year_of_event,independence_from,event_commemorated_and_notes,year,date_mdy,latitude,longitude
Afghanistan,1919-08-19,Tuesday,19.0,Aug,Afghan Independence Day (Afghan Victory Day),August 19,1919.0,United Kingdom,"Anglo-Afghan Treaty of 1919 or Treaty of Rawalpindi, an armistice between the United Kingdom and Afghanistan during the Third Anglo-Afghan War[3]",1919.0,"August 19, 1919",33.9391,67.71
Albania,1912-11-28,Thursday,28.0,Nov,Flag Day (Dita e Flamurit),November 28,1912.0,Ottoman Empire,"Albanian Declaration of Independence. The following day, November 29, is celebrated as the Liberation Day and commemorates the end of the German occupation in 1944.[4]",1912.0,"November 28, 1912",41.1533,20.1683
Algeria,1962-07-05,Thursday,5.0,Jul,Independence Day,July 5,1962.0,France,"Algeria gained independence following the Algerian War and the Algerian independence referendum. France officially recognized independent Algeria on July 3, but the Independence Day is celebrated on July 5, the day of the fall of Algiers in 1830 and the beginning of French Algeria.[5][6]",1962.0,"July 5, 1962",28.0339,1.6596
Angola,1975-11-11,Tuesday,11.0,Nov,Independence Day,November 11,1975.0,Portugal,"The Alvor Agreement, signed on 15 January 1975, granted Angola independence from Portugal on 11 November, ending the Angolan War of Independence.[7]",1975.0,"November 11, 1975",-11.2027,17.8739
Antigua and Barbuda,1981-11-01,Sunday,1.0,Nov,Independence Day,November 1,1981.0,United Kingdom,The effective date of the Antigua Termination of Association Order passed by the Parliament of the United Kingdom in July[8][9],1981.0,"November 1, 1981",17.0608,-61.7964
Armenia,1991-09-21,Saturday,21.0,Sep,Independence Day,September 21,1991.0,Soviet Union,1991 Armenian independence referendum,1991.0,"September 21, 1991",40.0691,45.0382
Austria,1955-10-26,Wednesday,26.0,Oct,National Day,October 26,1955.0,"Allied occupying powers (France, United Kingdom, United States and Soviet Union)",Declaration of Neutrality,1955.0,"October 26, 1955",47.5162,14.5501
Azerbaijan,1918-05-28,Tuesday,28.0,May,Republic Day,May 28,1918.0,Russian Soviet Federative Socialist Republic,Declaration of Independence (Azerbaijan),1918.0,"May 28, 1918",40.1431,47.5769
"Bahamas, The",1973-07-10,Tuesday,10.0,Jul,Independence Day,July 10,1973.0,United Kingdom,Effective date of The Bahamas Independence Order 1973[13],1973.0,"July 10, 1973",25.0343,-77.3963
Bahrain,1971-12-16,Thursday,16.0,Dec,Independence Day,December 16,1971.0,United Kingdom,Ascension of Isa bin Salman Al Khalifa to the throne[14],1971.0,"December 16, 1971",26.0667,50.5577
Bangladesh,1971-03-26,Friday,26.0,Mar,Independence Day,March 26,1971.0,Pakistan,Proclamation of Bangladeshi Independence,1971.0,"March 26, 1971",23.685,90.3563
Barbados,1966-11-30,Wednesday,30.0,Nov,Independence Day,November 30,1966.0,United Kingdom,Effective date of the Barbados Independence Act 1966,1966.0,"November 30, 1966",13.1939,-59.5432
Belarus,1944-07-03,Monday,3.0,Jul,Independence Day,July 3,1944.0,Nazi Germany,The liberation of Minsk after several years of German occupation in 1944. Two other independence days – March 25 (proclamation of the Belarusian People's Republic in 1918) and July 27 (independence from the Soviet Union in 1990) – are commemorated unofficially.[15],1944.0,"July 3, 1944",53.9006,27.559
Belgium,1831-07-21,Thursday,21.0,Jul,National Day,July 21,1831.0,United Netherlands,Ascension of Leopold of Saxe-Coburg-Saalfeld to the throne[16],1831.0,"July 21, 1831",50.8503,4.3517
Belize,1981-09-21,Monday,21.0,Sep,Independence Day,September 21,1981.0,United Kingdom,Effective day of the Belize Act 1981[17],1981.0,"September 21, 1981",17.1899,-88.4976
Benin,1960-08-01,Monday,1.0,Aug,Independence Day,August 1,1960.0,France,Effective date of the agreement with France signed on July 11 creating the independent Republic of Dahomey[18],1960.0,"August 1, 1960",9.3077,2.3158
Bolivia,1825-08-06,Saturday,6.0,Aug,Independence Day,August 6,1825.0,Spain,Bolivian Declaration of Independence,1825.0,"August 6, 1825",-16.2902,-63.5887
Bosnia and Herzegovina,1992-03-01,Sunday,1.0,Mar,Independence Day,March 1,1992.0,Socialist Federal Republic of Yugoslavia,1992 Bosnian independence referendum,1992.0,"March 1, 1992",43.9159,17.6791
Botswana,1966-09-30,Friday,30.0,Sep,Independence Day,September 30,1966.0,United Kingdom,Effective date of the Botswana Independence Act 1966[19],1966.0,"September 30, 1966",-22.3285,24.6849
Brazil,1822-09-07,Saturday,7.0,Sep,Independence Day (Dia da Independência),September 7,1822.0,"United Kingdom of Portugal, Brazil and the Algarves",Declaration of independence by Pedro I of Brazil (see Independence of Brazil)[20],1822.0,"September 7, 1822",-14.235,-51.9253
Brunei,1984-02-23,Thursday,23.0,Feb,National Day,February 23,1984.0,United Kingdom,"Brunei gained full independence effective January 1, 1984 under the Treaty of Friendship and Co-operation of 7 January 1979 between United Kingdom and Brunei.[21] However, the celebrations of the first National Day were delayed until February 23 and that day continues to be celebrated since.[22]",1984.0,"February 23, 1984",4.5353,114.7277
Bulgaria,1878-03-03,Sunday,3.0,Mar,Liberation Day,March 3,1878.0,Ottoman Empire,Treaty of San Stefano which created the autonomous Principality of Bulgaria[23],1878.0,"March 3, 1878",42.7339,25.4858
Burkina Faso,1958-12-11,Thursday,11.0,Dec,Proclamation of Independence Day,December 11,1958.0,France,Effective date when French Upper Volta became an autonomous republic in the French Community,1958.0,"December 11, 1958",12.2383,-1.5616
Burundi,1962-07-01,Sunday,1.0,Jul,Independence Day,July 1,1962.0,Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27],1962.0,"July 1, 1962",-3.3731,29.9189
Cambodia,1953-11-09,Monday,9.0,Nov,Independence Day,November 9,1953.0,France,"Ceremony transferring military from French to Cambodian officials based on a military hand-over agreement reached on October 17, 1953[28][29]",1953.0,"November 9, 1953",12.5657,104.991
Cape Verde,1975-07-05,Saturday,5.0,Jul,Independence Day,July 5,1975.0,Portugal,"Effective date of the Agreement Between Portugal and Partido Africano para a Independência da Guiné e Cabo Verde (PAIGC) signed on December 18, 1974[32]",1975.0,"July 5, 1975",16.5388,-23.0418
Central African Republic,1958-12-01,Monday,1.0,Dec,National Day,December 1,1958.0,France,Effective date when Central African Republic became an autonomous republic of the French Community[33],1958.0,"December 1, 1958",6.6111,20.9394
Chad,1960-08-11,Thursday,11.0,Aug,Independence Day,August 11,1960.0,France,Effective date of the agreement with France signed on July 12[18],1960.0,"August 11, 1960",15.4542,18.7322
